id,created_date,modified_date,is_active,kpo_statement,kpo_outcome,kpo_target_date,kpo_performance_std,kpo_plan,created_by_id,kpo_role_id,modified_by_id
113,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Learn and use new technologies and stay up to date on the latest technology updates.,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,18,1
114,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Translate designs and wireframes into high quality code,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,18,1
115,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Escalation Handling and Mentoring,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,18,1
116,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Creativity and a good sense of aesthetics,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,19,1
117,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Aptitude for visualizing content ,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,19,1
118,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Capacity for attention to detail,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,19,1
119,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Animation Techniques,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,19,1
120,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Planning and Execution,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,20,1
121,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Time and Cost Reduction in business processes,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,20,1
122,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Clear and Concise Communication/Documentation,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,20,1
123,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Quality of Requirement/Scope documentation,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,20,1
124,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Impact Analysis and Assessment,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,20,1
125,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Feasibility and Gap Analysis,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,20,1
126,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Escalation Handling and Mentoring,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,20,1
127,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Clear and Concise Communication/Documentation,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,21,1
128,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Impact Analysis and Assessment,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,21,1
129,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Feasibility and Gap Analysis,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,21,1
130,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Quality of Requirement/Scope documentation,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,21,1
131,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Develop and document detailed architectures ,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,22,1
132,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Enforce sound development practices and ensure the quality delivery of enterprise solutions ,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,22,1
133,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Work closely with Project Managers, Senior Business Analysts, and UX teams ",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,22,1
134,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Collaborate with cross-functional teams to define, design, and ship new features",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,22,1
135,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Take ownership of the solution from end to end, and be responsible for translating functional requirements into enterprise solution",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,22,1
136,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Lead and mentor development teams   ,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,22,1
